Name,Message,TimeInSeconds
Jasmine O.,dominating the attention economy,1404
Anthony I.,yes,1414
Anita K.,yeah let's win at business,1419
Brittany L.,checking in from chicago,1422
Breanna Z.,this is the year i make it work,1422
Fatimah R.,live from los angeles,1432
Melanie J.,checking in from india,1434
Lakesha X.,so here we go its time,1440
Kayla O.,lets get it lets get it,1443
Stephanie A.,right here,1455
Brandi X.,yeah okay lets do it,1465
Breanna Y.,ok i want to see,1468
Dominique G.,so whats up?,1472
Breanna K.,yeah,1472
Angelica I.,so you land and then sell,1484
Destiny S.,yeah ok lets go now haha,1501
Nicole F.,wow jen has kids,1503
Deandra I.,wow ok lets learn,1505
David B.,yes ready,1509
Toni F.,no way,1516
Modupe N.,great point,1531
Olivia W.,ok ok lets get to work,1548
Talia I.,ok thats great,1558
Toni I.,case study,1559
Latoya D.,you need to make it real people,1561
Grace R.,okay here it comes,1588
Alexandria S.,ok here it comes,1592
Tara K.,yes here and ready,1597
Deandra R.,ok i wanna know,1602
Shantel T.,wow lets go,1603
Stephanie M.,so if you want them you know what is a thing?,1606
Veronica H.,lets get to it,1609
Jada O.,wow sounds unreal,1627
Modupe S.,this is not new,1636
Kayla W.,that's right,1639
Ayo O.,ok so awesome stuff,1647
Anita Z.,so here is how beginners learn,1653
Joy O.,holy cow,1667
Deandra L.,i want to get some,1669
Robert M.,yes this is amazing,1685
Olivia P.,ready to learn,1688
Robert P.,ready for the value drop,1701
Anthony P.,wow,1709
William D.,alright value to see!,1710
Carolyn E.,okay great points,1729
Brooke P.,wow all this is awesome,1738
Brittany E.,wow,1742
Brooke J.,ready to go,1744
Brittany G.,lets go here,1744
Brooke K.,lets learn it now,1755
Alexandria M.,wooo lets go,1760
Krystal C.,okay lets get the value!,1761
Anita Y.,yeah this is good!,1763
Lisa U.,that amazing,1772
Alexis S.,thats it,1785
Brianna R.,totally ready,1787
Breanna O.,here,1788
Dominique I.,not some stuff,1791
Amanda H.,yeah,1791
Robert M.,living instagram channels,1796
Felicia L.,time to learn the truth,1796
Ayo B.,no bots or anything else,1800
Deandra P.,do it,1803
Kendra B.,ok here we go,1816
Brooke N.,ready now!,1829
Ese Q.,yeah so ready to go now,1835
Ayo E.,haha cool lets get some value,1861
Carolyn I.,love it all,1864
Nicole C.,alright!!,1875
Tiffany T.,yes to this,1877
Samantha C.,ok so its pretty awesome,1884
Brandi Q.,wow,1890
Destiny I.,okay i am ready for it,1895
Latoya A.,haha finally the value drop here!,1902
Kiara Z.,wow,1917
Lisa A.,lets get to it,1925
Erica I.,i am here and ready to go,1934
Sierra N.,they do a thing,1935
John Z.,immediately you are not held back,1940
Joseph L.,ok no more selling lol,1944
Grace C.,all this is awesome,1959
Crystal E.,wow here we go,1959
Anthony T.,turn it off,1964
David D.,no way lets get to value,1971
Robert Y.,ok so here we go,1972
Anthony R.,yes here now,1991
Brianna N.,yes lets go,1992
Joseph S.,totally get it,2006
William K.,its a good point,2008
Tiffany L.,this is all amazing stuff,2017
Deandra R.,amazing love this!,2021
Lilian F.,wow ok i need to see,2029
Erica V.,ok great intro,2049
Latrice W.,this is so good!!!,2050
Amanda T.,yeah now the real stuff here,2066
Anthony Y.,yes,2078
Michelle N.,ready to go,2079
Charles J.,so what are you getting here?,2088
Angelica N.,its important,2089
Samantha J.,yes i am,2094
Shayla V.,ok here we go,2095
Joseph C.,value time yeah!,2096
Kierra J.,great i am in,2098
Latrice T.,yes lets learn,2103
Latrice A.,time to make money!!!,2107
Brandi M.,ok lets find out,2112
Destiny S.,ok so no more selling now lol,2113
Angelica R.,i wanna go,2117
Nicole N.,wow that is awesome,2122
Blessing M.,lets do it lets learn,2131
Kierra L.,ok lets go,2156
Modupe X.,ready,2156
Latrice Q.,and if you want the done for you one dont have one thing to sell what is that thing,2168
Hauwa N.,yeah lets go,2186
Erica K.,holy wow,2193
Ayo M.,totally taking notes,2196
Blessing E.,totally,2217
Tiffany O.,lets all sign it up,2221
Lilian S.,i will take some notes,2242
Jasmine E.,sounds awesome,2249
Ashley T.,yes amazing stuff,2251
Thomas T.,okay now lets get to it!,2253
Anthony B.,the last thing is key,2276
Breanna U.,yes i am taking notes,2290
Kiara Y.,i am all eyes and ears,2294
Lakesha E.,he has the energy,2301
Anthony Y.,yes great point,2306
Amanda C.,yeah! good stuff,2318
Michelle K.,yes,2324
Charles C.,okay okay lol,2328
Ashley H.,i will get a pen and notepad now haha,2336
Lakesha P.,yeah now we get some real value,2366
Lisa X.,yes and very hyped,2379
Talia K.,yeah okay good i need to see,2382
Michael F.,ok okay here we go now,2388
Krystal K.,lets get down to earth,2390
Jasmine D.,this is the first one,2400
Carolyn O.,thanks will get a new direction,2404
Alexandria E.,amazing! this is so great,2426
Ayo G.,i will take good notes,2437
Tara R.,yes lets learn it!,2446
Erica W.,yeah i am excited,2454
Alexis A.,here we go!,2455
Brooke Q.,its new stuff here,2458
Chelsea T.,i get it,2477
Samantha B.,yes lets see it all,2515
Ashley O.,lets go yes,2520
Ashley T.,no way i want to see more,2522
Fatimah P.,wow its legit,2525
Shantel F.,ok lol now we get the value,2531
Kendra Z.,yes,2543
Diamond A.,i gotta see this,2546
Joseph T.,its simple,2550
Grace L.,diane totally feel the same!,2558
Kendra S.,lets do it,2575
Deandra D.,yes love to see it,2577
Latrice T.,so you will too,2581
Carolyn V.,lets go,2583
Michelle R.,this is all new by the way,2591
Modupe J.,ok lets go,2595
Shantel A.,so yes,2610
Shayla R.,cool stuff ok,2618
Daniel B.,ok ok value time,2621
Brooke Z.,ok ok here we go,2632
Latoya B.,getting all the value,2636
Melanie V.,four steps,2642
Kiara P.,lets get to work!,2648
Felicia N.,this is incredible stuff,2659
Kenya H.,me too taking notes here,2664
Lakesha D.,ok so lets go,2670
John R.,wooo,2675
Alexis X.,ok ready to write,2682
Kierra I.,yes,2708
Rhonda G.,i am in lets go now,2710
Amanda U.,its so important for me!,2713
Fatimah M.,yes yes,2714
Rhonda Z.,ready,2715
Blessing H.,yeah ok lol this is good info,2720
Haven W.,i am here for the meat and potatoes,2734
Deandra J.,that is awesome,2739
Rhonda P.,haha alright,2743
Kirsten H.,yeah,2750
Thomas H.,i am here and excited,2751
Daniel E.,good ok all this is neat,2755
Angelica X.,ready and waiting,2758
David Y.,so get some,2762
William C.,its time to learn it!!!,2766
Robert A.,ok ready to learn,2778
Ashley X.,yes lets go,2784
Robert E.,ok ok i am gonna take notes here,2786
Blessing T.,some cases are a lot easier,2793
Destiny M.,yeah good stuff lets take notes,2808
Deandra F.,totally with you,2816
Brandi A.,cool to see it,2835
Dominique E.,love it ready to see,2841
Hauwa U.,no matter where you are,2843
Brittany T.,wow,2855
Shayla K.,no excuses!,2871
Latrice K.,you get white label rights to dominate the attention economy playbook a cutting edge training that breaks down the newest algorithms content formats and growth levers shaping instagram to give away to get your foot in the door for potential clients get a gorgeous day and night link in bio website uh this is huge obviously for instagram essential for directing followers to your offers funnels and content you can sell this as well total value is eighteen hundred dollars for this and the price is one twenty seven per year thats what everyone's going to be buying it to get access but you don't have to pay that because you came on this special call,2887
Michelle M.,if your dog's tummy has been acting up skin issues itching or just feeling off,2898
Rhonda G.,and tons of people using ai to automate their instagram business lucas started a faceless business around a topic he's passionate about and now it makes three k a month with almost a hundred k followers now,2905
Brandi Q.,now you're getting another upgrade called gram genies elite and this includes the international license and technology now so you can create push button instagram social media video content in all major languages and target users who speak any language not just english so only a few marketers are doing this they've extra their traffic and sales expanding into low competition international markets this includes the license to create and sell campaigns in anywhere too now,2942
Destiny E.,and it's our job to catch it early,2949
Matthew A.,you also get the ability to create unlimited ai social posts create unlimited ai videos now unlimited instagram automations schedule unlimited posts to unlimited accounts connect unlimited accounts you'll be able to render videos in full hd now get premium video rendering time and vip gold bonuses inside the members area total value for this two thousand dollars and everyone's buying it for one ninety seven per year but dont worry you don't have to pay that price at all,2949
Dominique E.,if you want real muscle growth not wishful thinking,2950
Chelsea T.,it's called paubiotics and it's the only probiotic we recommend for,3034
Haven H.,you also get white label instagram client assets ready to plug and play instead of having to create all the content yourself and post what if we just do it for you and thats exactly what you're getting with these white label done for you instagram client assets uh you'll get tons of ai content with gorgeous high engaging images ready to just upload to your client's account and schedule right away,3039
Jada L.,plus you're going to get three bonus apps that are created by us and fit great with gram jeannie's including gram jeannie's rank reel unlimited access now this is a separate app from gram jeannie's but is a five in one comprehensive video ranking solution that gets you or your client's videos to page one of google and youtube this year and beyond so you can actually rank these videos that you um come out with not just on instagram but on youtube google even get them in ai search suggestions with this special app total value for this eight hundred bucks everyone's buying it for ninety seven dollars per year,3069
Blessing A.,and the second you actually follow them your physique starts changing fast,3097
Latoya M.,uh gary how would i buy this uh just hold on uh so whats awesome is you can have agentic ai essentially do everything for you so its very tech friendly beginner friendly or theres detailed customization for those who like to customize and tweak everything so everyone can win big with this,3174
John V.,uh there's even more features so no stone is left unturned to have success and of course you can tell this wasn't thrown together in the last few months,3177
Lilian D.,people writing in like ross he said ive been real impressed with your stuff in the past so set me set aside uh some time to give the instagram agent to try we set up three faceless channels uh plus plug gram genies into an old instagram account that had stalled things are going really well ones crossed a hundred k followers already and is earning every day we haven't even started heavy monetization yet so thats going to be fun awesome job on making social scalable man,3196
Talia P.,uh we've been working on this for a long time had to submit it to meta,3221
Charles V.,now every other business i tried before basically failed because nobody nobody ever saw my offers,3271
Sierra S.,thanks to gram genies all the hard stuff's gone that was typically associated with building a long-term ethical business that properly services customers lets you work only a few hours each week living life how you want,3275
Lakesha I.,uh plus get white label rights to our demos swipes sales material to help land them as well you also get the tma access so the team members access feature allows you to create access to gram jeannie's for your team members or vas this allows them to log in automate tasks so now you can have ai agents plus cheap freelancers fully automate this business turn it into what i call a tablet business where you can just sort of run it from your phone or tablet a hundred percent,3303
Diamond H.,this is the thing that finally worked for us,3366
Kirsten D.,also includes multi copy a multilingual copy in video voiceover tech so enter any keyword and create amazing instagram social posts and videos on any major language thats proven to get leads and sales and even human sounding voiceovers in any language too pick from hundreds of different languages and add multilingual ai voiceovers now,3372
Anita T.,seventy k followers just crossed on my gram jeannie's instagram channel and over twenty five hundred people on my list,3377
John B.,just wanted to shoot a quick video for you because i hit a huge milestone and im feeling super proud,3402
Haven A.,first thing their joints,3410
Daniel C.,you'll get done for you fiverr and upwork gigs you can make back the cost of your purchase fast with these premium templates create instagram materials and campaigns for clients better than everyone else on these platforms including people selling those real videos for seven k plus on fiverr or upwork with millions of potential customers searching for how to do marketing on instagram properly so instagram uh services thats the the highest um uh rising service right now on these places uh there's still not tons of saturation so this is the easiest service to land clients from immediately,3411
Ashley L.,these are the three rules every lifter learns the hard way,3412
Matthew I.,but before and in a few minutes you'll be able to start accessing gram jeannie's to grow your business for you,3414
Joseph W.,so how do i know that gram genies gives you the easiest way to get traffic and run a business in fact the easiest ai business to run well again marketing is switching from direct response old school paper click and funnels to those you can just get attention they call it the attention economy and ai agents are the biggest thing in business right now,3424
Blessing Q.,so first you're getting access to gram genie's premium this is the regular version that you saw in the demo with commercial rights included to sell to clients total value is seven hundred bucks and it will sell for ninety seven dollars per year but you don't have to pay that price at all because you came on this special call,3465
David V.,those little hesitations when they get up thats your cue to go slower on walks add soft bedding maybe even a,3476
Stephanie C.,and i think you get the message by now you get the point uh the results keep going on and on this thing is transforming people's businesses and lives um now in a few minutes from now you're going to be accessing gram jeannie's to grow your business for you too and we try to pack on as many features and value into gram jeannie's in the demo the regular version you saw we did have to leave out some licenses and amazing features to make the software more affordable and accessible to everyone so if you're one of those users interested in using the app to its full potential to save far more time we do have some upgrades available which i'm going to cover right now in this quick video,3527
Brooke V.,and you're also getting gram genie's platinum upgrade now this most advanced edition allows you to keep clients longer with advanced enterprise technology white label the app as your own tap into done for you affiliate offers and more so this one includes the agency white label technology where you can replace the gram jeannie's branding from the dashboard with your own agency's logo and branding and make the app a part of your own agency stand out from everyone else and white label your agency account with your own branding so clients don't log into gram jeanies see our branding and then be like why are we paying this guy fifteen hundred dollars a month we can just you know buy it from ben on the main site for less so this is super important because you don't want uh clients you know leaving you and buying it from us and you get to control uh the pricing positioning lead generation everything now,3536
Anthony R.,now we tried to pack on as many features and value into gram jeannie's in the regular version that you saw in the demo but we did have to leave out some uh licenses and amazing features to make the software affordable and scalable for everyone so if you're interested in using the app to its full potential to save far more time i do have some upgrades available which i'm going to cover right now but before we jump into those because you came on this early call and we're engaged spent time with us we have a special deal where you can get access to all the upgrades without having to pay the prices everyone else will when they go through our regular funnel with all the upgrades so keep in mind the prices you see below for each upgrade that's what everyone else is paying as they go through our normal sales funnel you don't have to pay that at all so here's what you're going to be getting access to in just a few minutes from now,3539
Sierra L.,most said we run a decent sized agency ive seen a lot of tools come and go most forgettable this impressed me and we added gram genie services to our client offerings with massive uptake clients immediately noticed the difference in engagement follower quality and dm conversations it was undeniable its been so successful that were now seriously considering pivoting to a full instagram attention ai agency because the demand has been that strong huge congrats on creating something that actually moves the needle this is one of the few tools that truly deserves the hype,3566
Breanna B.,uh rod said if you want to be in business going forward you have to grow your social accounts but doing everything manually the right way uh for etcetera posting engaging with followers targeting the right people leads to burnout and generic ai tools don't work gram jeannie's is different because it learns your business and grows your account like a real human team does jump on this one because it's not just another tool it's how businesses will be built going forward,3644
Anita Q.,thanks,3701
William Z.,brenda that had to be the most impressive software i've seen in three years,3734
Jada N.,so combining these things is the best play you can possibly do to survive in fact you don't even need hosting a website a product with this model uh so instagram plus ai agents its the biggest thing that can help you thrive the next several years in business,3772
Jasmine T.,edith said gram genies is working great and going to save us a ton this year we were paying ridiculous amounts every month for ai video tools auto messengers schedulers planners that weren't as good realistically were saving around twenty five k a year now huge thanks to building something that actually lives up to the hype,3785
Chelsea Y.,and guys just know this when you sign up for gram genies soon if you're not happy and succeeding then i'm not happy for any reason you want your money back you can just get it back and all you have to do is go to the support link in the training or at the bottom of the page open up a ticket letting us know why it's just not working and you're not getting results and you're going to get just that and you can only make a guarantee like that when you're a,3794
Charles O.,and if you can believe it that's just a little of what gram genie's is capable of,3865
Kenya D.,getting the traffic just hadn't worked out but with this its been easy,3865
Latrice U.,total value eight hundred bucks price is ninety seven dollars per year and then you're getting gram genie's coincart unlimited special a first to market tech that allows businesses anywhere to sell digital or physical products with cryptocurrency check out fast and easy generate gorgeous sales sites with templates auto deliver products after crypto purchase this transformational tool comes with agency rights allowing marketing companies to set up crypto payments and memberships for fees without having to know anything about crypto this is a red hot service total value eight hundred dollars price is ninety seven dollars per year,3871
John K.,see a lot of exciting comments coming in johnny says im speechless,3889
Matthew S.,you also get as a special uh bonus gram genie's ai repuders unlimited special so ai repuders uh app created by the same team is an ai suite that lands pre-qualified leads with ai claims local business profiles through the app like uh clients google business profile to manage and then grows them with ai auto review technology so this going to help rank local profiles at the top of google search results in what's called the three pack of maps and makes your business get recommended number one in ai search results and this tool is so powerful you can run an ai reputation automation agency with it alongside your instagram agentic agency too,3922
Krystal B.,you also get the ability to remove the powered by gram jeannie's link this appears at the bottom of the content pieces that get made and at the end of videos you make but to get the highest conversion as possible and run a serious business you need to remove that link and branding so we're letting serious elite upgraders do just that get the power by link automatically removed upon creation and post you also get white label instagram client assets ready to plug and play,3998
Brooke Y.,then you're getting the upgrades and the first upgrade is called gram genie's gold this more advanced edition includes the unlimited licensing and advanced features like agency technology and more campaign accounts where you can integrate clients into the app now let your clients log into the app customize the campaigns the way they want give them full control over creating them the way they want and charge for access,4028
Rhonda G.,the agents keep bringing in the right followers and the content actually lands and everything it's finally clicking,4031
Krystal T.,what i love about it is that it's not some crazy stem junk that spikes your heart rate it's,4046
Krystal Y.,all right listen up,4124
Latrice H.,in fact a lot of people for this one actually built profitable instagram faceless businesses i mean we're doing it students are doing it uh people are even using it to like extra their current business even start their own agency in fact some people even send us videos documenting their success so i want to play some of those right now for you,4140
Carolyn B.,plus i'll done for you aic instagram agency scaling bundle skyrocket your agency with essential premon demand materials which includes a premium social agency proposal social media manager presentation legal contracts and more plus vip platinum bonuses you'll see in the members area total value for this is two thousand dollars and everyone's going to be buying it for one ninety seven per year,4154
Melanie C.,but look it's not just that either its just because we're just seeing people do it,4156
Fatimah F.,you also get the ability to add a hundred agency clients and run a hundred full ai agent affiliate campaigns now you'll be able to add far more clients to gram genie software to let them set up the campaigns how they want while you charge a monthly fee for access and you also get high commission affiliate product approval from me with a done for you trained genie on it youre gonna get access to the high commission gram genie's affiliate program with everything done for you ready to make sales with a done for you genie that will be integrated in the account trained on the product ready to start selling it for you so you easily just place your affiliate link in your instagram bio or anywhere else and then we're going to do all the hard work once they click closing the sales getting them on webinars uh just like this,4162
Blessing G.,matt started a faceless side hustle business he's making twenty k a month from his ai news channel uh damon is over five hundred k subscribers for his crypto news channel pumping out automated content,4220
Toni M.,you also get a done for you ai agency services website a fully branded enterprise agency website set up to help sell your service uh one hundred percent for you if needed this website can be customized with your logo and branding giving it a unique and consistent look that reflects your brand and will establish yourself as a credible and authoritative business that clients can feel safe buying from and lets you sell your instagram and social services comes with five years of done for you hosting if needed,4222
Daniel F.,donna thompson really nice ben,4240
Felicia A.,hey i honestly thought i'd never be someone running a business on the side but here we are already past four thousand dollars thanks to gram jenny's you were right i didn't need a huge following at all once the jeans learned the offer i'm promoting they started creating videos and handling dms and answering questions like somebody who knows my business way better than myself so excited to see where this takes me,4258
Samantha X.,hey it's your boy greg and i've been stacking citrus burn with all my workouts to lose fat fast and let me tell you why,4276
Alexis M.,he is so clear this is great,4320
Kierra E.,tony yessssss that's a bag right there,4325
Latrice W.,what is the risk of this tho?,4327
Joseph G.,it took my money and then ran away lol,4335
Charles S.,bro ur scaring me its happening too fast ahhh,4335
Stephanie S.,yeah lets go,4337
Charles F.,what happens after i sign up?,4355
Ashley S.,this is insane,4359
Krystal F.,im ready for freedom,4368
Talia I.,i cant see it on my phone can someone copy?,4371
Michelle R.,im confused tho still,4375
Rhonda K.,is there a cat generator that exists?,4379
Rhonda H.,that is the money right there i think,4404
Joy K.,he talked so fast,4415
Joy N.,type a if youre skeptical,4435
Kenya Q.,david same boat im taking the leap,4435
Joseph Y.,i think the price is real tbh,4436
Melanie T.,can we run more than one acct at a time?,4437
Angelica Y.,okay what do we do now,4440
Ese O.,i need this in my life,4447
Deandra W.,my old boss is gonna be mad,4453
Latoya E.,so crazy cant believe it,4469
Blessing S.,agreed!,4486
Chelsea M.,okay i'll bite,4486
Charles T.,gonna try it,4492
Talia J.,my cat needs an insta he is famous,4508
Shayla S.,wow he's selling,4510
Hauwa B.,can someone paste it so i can copy???,4512
Rhonda X.,this is insane,4517
Anthony L.,this dude is legit so far,4517
Veronica W.,i wish i saw this sooner,4526
David I.,did i hear that right???,4534
Kayla G.,okay lets do this,4535
Blessing L.,i trust him tbh,4538
Lakesha T.,my chat lagged out im so sorry,4541
Hauwa P.,link??,4542
Fatimah S.,he reads my mind it's crazy,4547
Olivia A.,this is unreal,4547
Latoya T.,i wanna get more time with my son,4549
Brooke Q.,my internet is so bad rn,4577
William W.,this is either heaven or hell,4580
Matthew W.,he is showing us exactly what we are gonna get,4589
Ese M.,fr?,4591
Brittany W.,lets goo,4627
Sierra B.,can we really make the clones?,4630
Kenya F.,i am done,4632
Kayla S.,thank you ben!,4639
Alexandria B.,you either swim or sink right,4645
Hauwa Q.,i love it,4652
John Q.,just tuning in what did i miss??,4655
Talia X.,yeah dude,4662
Hauwa G.,i was wrong,4673
Kendra U.,do we get customer service with this,4675
